Age,Slope,Intercept,Slope_Error,Intercept_Error,R_Value,BvTof,MvTof 
10.3, 5.812569629878513, 0.7758639410069135, 0.07899401003720628, 0.08452332707447946, 0.9988936766860113, 0.79, 5.15
10.28, 5.8489203447977625, 0.7188974255484766, 0.08778878655260204, 0.09322739271044327, 0.9985388749543238, 0.78, 5.06
10.26, 5.943981563552561, 0.6122788512675061, 0.11931599986537209, 0.12404058865749971, 0.9971912842856216, 0.77, 4.87
10.24, 5.761085133827797, 0.826760453617112, 0.06271882672378579, 0.06646459790776658, 0.9992305168344905, 0.77, 5.05
10.22, 5.814514676751306, 0.7665135962542768, 0.07497009746253794, 0.07865654904695321, 0.9988383107710861, 0.76, 4.96
10.2, 5.786583231227027, 0.8009778137580943, 0.06584139430093056, 0.06911033727714562, 0.9990949724788554, 0.75, 4.93
10.18, 5.9136399432981595, 0.6645216569538492, 0.10192125781811322, 0.10434367658692446, 0.9976320905551762, 0.74, 4.74
10.16, 5.8097282326467035, 0.7731531936991498, 0.08051485081403226, 0.08354875011835058, 0.9985626435777706, 0.74, 4.86
10.14, 5.756855622201573, 0.837864239249809, 0.06795823732251506, 0.07062946467151733, 0.9989564948364474, 0.73, 4.81
10.12, 5.942502413784567, 0.632125244473051, 0.10188380783224937, 0.10303741168692918, 0.9975107611225834, 0.72, 4.6
10.1, 5.732157256405617, 0.870888640215906, 0.0655419202451752, 0.06834167701183273, 0.9990209041616059, 0.72, 4.76
10.08, 5.809409009033691, 0.781967481456622, 0.09435013852607978, 0.09711930082087886, 0.9978965161476905, 0.71, 4.64
10.06, 5.779668762289859, 0.8328452931564536, 0.08018422276143725, 0.08264941194361149, 0.9984637557703283, 0.7, 4.58
10.04, 5.835237278981847, 0.7559080822786308, 0.10325921553374551, 0.10540189566803855, 0.997348877475053, 0.69, 4.52
10.02, 5.790238257477852, 0.8174356775300193, 0.08923680550111014, 0.09122483712096607, 0.9979871967686953, 0.69, 4.46
10.0, 5.8577445873351754, 0.7412638368875157, 0.1020066342933009, 0.1030892995526382, 0.9972819027683765, 0.68, 4.4
9.9, 5.959335944786422, 0.6349925387054656, 0.11764898105459644, 0.11431643408529642, 0.9957401790354568, 0.64, 4.08
9.8, 5.980204487859627, 0.6135621399321316, 0.13514266860572136, 0.12749333857621536, 0.9936769219033358, 0.6, 3.76
9.7, 5.672724180656448, 0.9784298243482903, 0.05007011593400328, 0.04932704758300505, 0.9991829838051439, 0.6, 4.12
9.6, 5.595648953175561, 1.059584545206441, 0.049179834216707644, 0.047885246493961954, 0.999151380934805, 0.57, 4.01
9.5, 5.727647043146871, 0.9271445513418435, 0.09259916445972578, 0.08390833318490341, 0.9984354381389778, 0.54, 3.71
9.4, 5.7779901732410535, 0.8821868140840596, 0.09373279404966044, 0.08143196636443202, 0.9981629138229067, 0.5, 3.4
9.3, 5.930239708236592, 0.7354078715336305, 0.12124048054743765, 0.10093871740105777, 0.9966728748026863, 0.45, 2.97
9.2, 5.913284176655326, 0.7685598815015364, 0.11723552584703235, 0.0953977848526883, 0.9966756246780208, 0.4, 2.63
9.1, 5.807425520283318, 0.8667865318498507, 0.06940642911192244, 0.059444008294704656, 0.9978643485482973, 0.35, 2.44
9.0, 5.7992872853396475, 0.8748294137551831, 0.06571758432473562, 0.05489478254732623, 0.9978878719052363, 0.28, 2.06
8.9, 5.84936011427572, 0.8519570591493459, 0.07040318100829639, 0.05176070404305177, 0.9984102678714399, 0.2, 1.57
8.8, 5.801410818606298, 0.9049882676090157, 0.054852520035118583, 0.038823418655600586, 0.9989289518071428, 0.12, 1.13
8.7, 5.764769906027472, 0.9512662104387055, 0.05180311090903709, 0.035328538851188744, 0.9989518875563388, 0.06, 0.79
8.6, 5.678358636603274, 1.033674241092919, 0.039195948188319715, 0.02624494014907812, 0.9993573837589572, 0.0, 0.63
8.5, 5.620000598880093, 1.0920330249100854, 0.038541250777723385, 0.025337855828817014, 0.9993422236510464, -0.04, 0.52
8.4, 5.624486527247338, 1.09803985016047, 0.05132007559915115, 0.03219001589560361, 0.9987120445161887, -0.07, 0.16
8.3, 5.612231812641386, 1.1163612893858752, 0.059667224976518385, 0.03635394310533365, 0.9981401773199309, -0.09, -0.03
8.2, 5.774019769776132, 0.9978528828805926, 0.10415263058908965, 0.05950069416174843, 0.9938746218199889, -0.12, -0.7
8.1, 6.295045130247579, 0.605319429065706, 0.21682129198856231, 0.11247401266769025, 0.9732353906928227, -0.14, -1.85
8.0, 5.736271206043023, 1.0406673057865508, 0.10085912093748975, 0.05634156794677035, 0.9938737351094044, -0.14, -0.78
7.9, 5.772301628440484, 1.0188312642097228, 0.10751043101841029, 0.05876844544991406, 0.992793768801878, -0.15, -0.87
7.8, 5.91249355590499, 0.9180668642101164, 0.130599191272797, 0.06859851244412385, 0.9889635052084266, -0.17, -1.25
7.7, 5.953292605275198, 0.894854336781155, 0.1377891810105265, 0.0710989503676337, 0.9873861169823792, -0.18, -1.44
7.6, 5.967638848200842, 0.8902528694097944, 0.1405664946919246, 0.07194515976285062, 0.9866777407540893, -0.19, -1.51
7.5, 6.303295375370958, 0.6577342431405333, 0.18900299137678164, 0.09165385199214703, 0.9757379703004753, -0.21, -2.41
7.4, 6.296363480711433, 0.6681232950562124, 0.1835488081100998, 0.08843981037947031, 0.9766261334482677, -0.22, -2.34
7.3, 6.349521527331053, 0.6363349680855226, 0.1874320028238494, 0.08918717270307049, 0.9752449414453299, -0.23, -2.49
7.2, 6.558872667725461, 0.5007893344122878, 0.21629346367674543, 0.1005649207182057, 0.9674092251268439, -0.24, -3.14
7.1, 6.564464798097257, 0.5014733064424366, 0.2119164221986869, 0.0980425376636275, 0.9682317731868619, -0.25, -3.08
7.0, 6.472580056244334, 0.5612886448729018, 0.19527442671328316, 0.09151796217340388, 0.9729245658586622, -0.25, -2.74
6.9, 7.002132699825253, 0.3561660810895513, 0.3179400666155214, 0.12147109909723042, 0.9468337004366304, -0.27, -3.52
6.8, 7.1672508880072785, 0.264627025168742, 0.3378823867281163, 0.1293248112876435, 0.9421067560252125, -0.28, -3.94
